id,name,slug,city,country_id,company_id,company_name,status,created_at
212,HPC SAN Ángel,hpc-san-angel,Alvaro Obregon,136,157,Hyrox,active,2026-03-25
211,Maple Force,maple-force,,,136,Maple,active,2026-03-16
210,Pylora,pylora,,,192,pylora,active,2026-03-13
209,Misogi Wellness,misogi-wellness,,,191,Misogi Wellness,active,2026-03-13
208,bunker,bunker,,,190,Bunker Indoor Golf,active,2026-03-10
207,RISE,rise,,,189,RISE,active,2026-03-05
206,Boden,boden,,,188,boden,active,2026-03-01
205,Prime Studio,prime-studio,,,187,primestudio,active,2026-02-20
204,Human Prime Lab,human-prime-lab,,,186,Human Prime Lab,active,2026-02-17
203,PLT Studio Cancún,plt-studio-cancun,,,185,PLT STUDIO,active,2026-02-12
202,PLT Studio Polanco,plt-studio-polanco,,,185,PLT STUDIO,active,2026-02-12
201,PLT Studio Bosques,plt-studio-bosques,,,185,PLT STUDIO,active,2026-02-12
200,Reform Zona Esmeralda,reform-zona-esmeralda,,,162,Reform,active,2026-02-09
199,San José Insurgentes,san-jose-insurgentes,,,176,Primera Posición,active,2026-02-04
198,Blast,blast,,,183,Blast Studio,active,2026-02-03
197,Duha,duha,,,182,duha,active,2026-01-30
196,Hybrix,hybrix,,,181,Hybrix,active,2026-01-28
195,Mom Nest,mom-nest,,,180,momnest,active,2026-01-27
194,Estudio 1,estudio-1,,,179,Umaah Haus,active,2026-01-26
193,Rayo,rayo,,,175,Rayo,active,2026-01-16
192,Roma Norte Primera Posición,primera-posicion,,,176,Primera Posición,active,2026-01-16
191,Three Fit,three-fit,,,178,Three Fit,active,2026-01-14
190,Souls,souls,,,177,Souls On Fire,active,2026-01-13
189,Metepec,sunset-studio-metepec,,,134,Sunset,active,2026-01-07
188,Everyone Yoga,every-one-yoga,,,174,Everyone Yoga,active,2026-01-05
187,Drip Fit,drip-fit,,,173,Drip Fit,active,2025-12-23
186,Áthom,athom,,,172,Áthom,active,2025-12-22
185,Atlic,atlic,Miguel Hidalgo,136,171,Atlic,active,2025-12-15
184,Zoma Method,zoma-method,Toluca,136,170,Zoma Method,active,2025-12-13
183,Nómada Pilates,nomada-pilates,,,169,Nómada Pilates,active,2025-12-10
182,Two Mind + Body,two-mind-body-1,,,168,Two Mind + Body,active,2025-12-04
181,Two Mind  Body,two-mind-body,,,167,Two,active,2025-12-04
180,marca 1,marca-1,,,165,test,active,2025-11-26
179,Soul Studio Linda Vista,soul-studio-linda-vista,,,57,soulstudio,active,2025-11-13
178,Studio 51,studio-51,,,163,Studio 51,active,2025-10-29
177,Reform Arboledas,reform,,,162,Reform,active,2025-10-28
176,Terra Barre Las aguilas,las-aguilas,,,91,Terra Barre,active,2025-10-08
175,Santum,santum,,,161,Santum high wellness,active,2025-10-02
174,Lūn Studio,lun-studio,,,160,Lun Pilates Studio & Barre,active,2025-09-30
173,Seijaklu Balance,seijaklu-balance,,,159,Seijaku,active,2025-09-22
172,My Flow Polanco,my-flow-polanco,,,114,MyFlow,active,2025-09-19
171,Espacio Garden,espacio-garden,,,158,Espacio Garden,active,2025-09-16
170,MyFlow Bosques,my-flow-lomas,,,114,MyFlow,active,2025-09-11
169,HPC,performance-center,,,157,Hyrox,active,2025-09-03
168,Skip Studio,skip-studio,,,155,Skip Studio,active,2025-09-03
167,Goals,goals,,,154,Goals Pilates,active,2025-08-13
166,aura,aura,,,153,Aura Essence,active,2025-08-12
165,Peak,peak,,,152,PEAK FITNESS,active,2025-08-12
164,Ezencia Pilates,ezencia-pilates,,,151,Ezencia Pilates Studio,active,2025-08-07
163,Roca,roca,,,150,Roca,active,2025-08-06
162,Safe Space,safe-space,,,149,Safe Space,active,2025-07-26
161,Frame Pilates Lab,frame-pilates-lab,,,148,Frame Pilates Lab,active,2025-07-22
160,BalanceBodyBarre,balancebodybarre,,,147,BBB,active,2025-07-22
159,Mérida,merida,,,146,Casa Onze,active,2025-07-15
158,CDMX,cdmx,,,146,Casa Onze,active,2025-07-15
157,Cathe´s Place,cathes-place,,,145,Cathes,active,2025-07-11
156,Kaali Pilates Studio,kaali-pilates-studio,,,144,Kaali,active,2025-07-10
155,Buq,buq-1,,,143,BUQ,active,2025-06-25
154,Latitud Collective,latitud-collective,Metepec,136,142,LATITUD,active,2025-06-24
153,EmpowerHer,empowerher,,,141,EmpowerHer,active,2025-06-17
